TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
32.02222,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5357224,1.661184,-0.8370308,343.4935,51.56325,14.75082
32.04445,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5340641,1.659309,-0.8364512,345.0234,51.53338,14.37312
32.06667,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5324366,1.657319,-0.8359331,346.5756,51.3945,13.98212
32.08889,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5308268,1.655352,-0.8354804,348.2001,51.2515,13.54609
32.11111,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5291632,1.653228,-0.8350898,349.84,51.11983,13.08275
32.13334,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5277334,1.651039,-0.8348026,351.487,51.0033,12.72111
32.15556,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5263305,1.648864,-0.8345793,353.1415,50.83444,12.40922
32.17778,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5250871,1.646649,-0.834429,354.7265,50.63224,12.09947
32.2,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5236614,1.644682,-0.8342195,356.2382,50.40611,11.73504
32.22222,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5224406,1.642719,-0.833991,357.6218,50.16835,11.37416
32.24445,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5213012,1.640819,-0.8338395,358.9383,49.82833,11.04081
32.26667,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5202615,1.639016,-0.8337804,0.1927274,49.43103,10.68798
32.28889,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5192169,1.637361,-0.8336349,1.33488,49.06018,10.28572
32.31111,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5181739,1.635807,-0.8334402,2.386807,48.66901,9.891464
32.33334,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5171774,1.634282,-0.8332682,3.402237,48.21732,9.57233
