Latitude,Longitude,TimeStamp
59.734703,-149.51397,1466112347
59.734703,-149.51397,1466112347
59.734645,-149.514102,1466112351
59.73454,-149.514277,1466112357
59.734463,-149.514408,1466112361
59.73437,-149.514635,1466112367
59.734315,-149.514795,1466112371
59.734262,-149.514955,1466112375
59.734237,-149.515042,1466112377
59.734168,-149.515295,1466112383
59.734122,-149.515442,1466112387
59.734065,-149.515668,1466112393
59.734058,-149.515833,1466112397
59.734117,-149.516068,1466112403
59.73416,-149.516218,1466112407
59.734205,-149.51645,1466112413
59.734215,-149.516565,1466112417
59.734207,-149.516672,1466112423
59.734207,-149.516672,1466112423
59.734205,-149.516728,1466112427
59.734195,-149.516782,1466112433
59.734185,-149.516802,1466112437
59.734183,-149.516842,1466112443
59.734177,-149.516862,1466112447
59.734167,-149.516885,1466112453
59.734165,-149.516902,1466112457
59.734163,-149.516918,1466112463
59.734157,-149.516918,1466112467
59.734153,-149.51692,1466112473
59.734153,-149.51692,1466112473
59.734138,-149.516958,1466112479
59.734138,-149.516958,1466112479
59.73411,-149.516997,1466112483
59.734093,-149.517018,1466112485
59.734068,-149.51708,1466112489
59.734037,-149.517172,1466112493
59.73396,-149.517318,1466112499
59.733932,-149.517382,1466112501
59.733907,-149.517452,1466112503
59.733847,-149.5176,1466112507
59.733818,-149.517678,1466112509
59.733743,-149.51784,1466112513
59.733623,-149.518098,1466112519
59.733545,-149.518238,1466112523
59.73339,-149.518397,1466112529
59.733283,-149.518477,1466112533
59.733113,-149.518638,1466112539
59.732983,-149.51877,1466112543
59.732808,-149.518958,1466112549
59.732722,-149.519132,1466112553
59.73266,-149.519362,1466112557
59.73264,-149.519503,1466112559
59.732625,-149.519797,1466112563
59.732642,-149.52025,1466112569
59.732648,-149.520403,1466112571
59.732648,-149.52066,1466112575
59.732637,-149.520788,1466112577
59.732612,-149.520898,1466112579
59.73249,-149.521112,1466112585
59.732367,-149.52114,1466112589
59.732243,-149.521118,1466112593
59.732178,-149.521102,1466112595
