TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
6.844445,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.866667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.888889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.922223,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.944445,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.966667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.988889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.022223,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.044445,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.066667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.088889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.122222,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.144444,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.166667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.2,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.222222,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.244445,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.277778,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.3,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.333333,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.355556,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.377778,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
7.411111,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
