TimeSinceStart,UserHeight,TrialID,ParticipantID,ExperimentSequence,Dataset,Layout,TaskID,TaskLevel,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,LeftMenuButtonPressed,LeftTriggerButtonPressed,LeftGripButtonPressed,LeftPadPressed,RightMenuButtonPressed,RightTriggerButtonPressed,RightGripButtonPressed,RightPadPressed,RotatingClockwise,RotatingAnticlockwise,ScaleUp,ScaleDown,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,SMRotationDiff,FilterXMin,FilterXMax,FilterYMin,FilterYMax,FilterZMin,FilterZMax,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
13.22222,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685225,0.5434319,-2.134497,337.7668,197.105,359.7143,-1.607971,0.798999,-2.076046,345.8464,202.0801,4.992017,-1.481738,0.8130718,-2.034405,345.1006,182.6665,359.5678,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.24444,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684618,0.5434477,-2.134529,337.762,197.105,359.7275,-1.607975,0.7989626,-2.075982,345.855,202.0797,4.987662,-1.481767,0.8130423,-2.03452,345.1045,182.6766,359.5677,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.27778,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9683482,0.5434456,-2.134434,337.7759,197.1227,359.6995,-1.607887,0.7990419,-2.075933,345.8453,202.0648,5.011237,-1.48172,0.8131114,-2.034492,345.098,182.6687,359.5749,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.3,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682658,0.5434282,-2.134398,337.7586,197.1076,359.7244,-1.607868,0.7989529,-2.075897,345.8486,202.068,5.020129,-1.48173,0.8129739,-2.034596,345.1028,182.6613,359.5787,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.33333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684085,0.5434375,-2.13449,337.7574,197.1132,359.7195,-1.607874,0.7989202,-2.076003,345.8539,202.073,5.024459,-1.481727,0.8130586,-2.034503,345.0927,182.6724,359.5457,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.35556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684368,0.543532,-2.13449,337.7676,197.1094,359.7256,-1.607885,0.7989655,-2.075972,345.8426,202.0686,5.034753,-1.481755,0.8129637,-2.034592,345.0919,182.6751,359.5406,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.37778,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684499,0.5434908,-2.134494,337.7553,197.1149,359.7214,-1.607932,0.798916,-2.075919,345.8464,202.0731,5.031608,-1.481851,0.8129861,-2.034657,345.0951,182.6642,359.543,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.41111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684305,0.5435094,-2.134444,337.7631,197.1073,359.722,-1.607898,0.7989297,-2.075994,345.8439,202.0718,5.020578,-1.482001,0.8129511,-2.034643,345.0862,182.674,359.531,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.44444,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9683452,0.5434961,-2.134282,337.7551,197.1137,359.7278,-1.60793,0.7988728,-2.075916,345.8389,202.0783,5.009678,-1.481952,0.8130471,-2.034602,345.0767,182.6684,359.5517,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.46667,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.968301,0.5434792,-2.134274,337.7636,197.1105,359.7262,-1.60792,0.7988671,-2.075887,345.8391,202.0762,5.016852,-1.481929,0.8130821,-2.034568,345.0743,182.6714,359.5702,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
