TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
24.78889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8847734,0.9233383,Small Multiples 21,Small Multiples 27,NA,31.54715,23.72113,-31.07432
24.82222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8847734,0.9233383,Small Multiples 21,Small Multiples 27,NA,31.22205,23.98795,-31.23043
24.85556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8847734,0.9233383,Small Multiples 21,Small Multiples 27,NA,30.9543,24.09003,-31.44404
24.88889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8804271,0.9257513,Small Multiples 21,Small Multiples 27,NA,30.85797,24.10446,-31.53442
24.93333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8800732,0.9275945,Small Multiples 21,Small Multiples 27,NA,30.80691,24.17909,-31.53163
24.96667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8791387,0.9305713,Small Multiples 21,Small Multiples 27,NA,30.74479,24.33389,-31.47859
25,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8834258,0.9283392,Small Multiples 21,Small Multiples 27,NA,30.31239,24.49493,-31.81494
25.03333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8834258,0.9283392,Small Multiples 21,Small Multiples 27,NA,30.28024,24.52659,-31.82354
25.06667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8798202,0.9249077,Small Multiples 21,Small Multiples 27,NA,30.42629,24.37844,-31.78161
25.1,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8798202,0.9249077,Small Multiples 21,Small Multiples 27,NA,30.417,24.48672,-31.70769
25.13333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8805692,0.9271666,Small Multiples 21,Small Multiples 27,NA,30.40852,24.66543,-31.5777
25.16667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.34941,-30.22853,-24.84273
25.2,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.429,-30.12646,-24.86988
25.23333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.52823,-30.00583,-24.89277
25.26667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.63717,-29.86184,-24.93016
25.3,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.67465,-29.72952,-25.04239
25.33333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.60388,-29.37236,-25.5794
25.36667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,29.42518,-28.96694,-26.29232
25.4,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4120868,0.4878443,Small Multiples 21,Small Multiples 27,NA,28.97372,-28.44416,-27.43776
25.42222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4098223,0.4619699,Small Multiples 21,Small Multiples 27,NA,25.71873,-30.33017,-28.82942
25.45556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.409045,0.4802527,Small Multiples 21,Small Multiples 27,NA,26.40615,-28.41173,-30.20805
25.48889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.409045,0.4802527,Small Multiples 21,Small Multiples 27,NA,24.76357,-28.58774,-31.54673
25.52222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8167656,-0.4654386,Small Multiples 21,Small Multiples 27,NA,-34.17316,-32.99317,-18.97608
25.55556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3934831,0.4461511,Small Multiples 21,Small Multiples 27,NA,18.7629,-33.04661,-31.52155
25.58889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.8338338,-0.3477312,Small Multiples 21,Small Multiples 27,NA,-35.79134,-32.64302,-16.40151
25.62222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.6736454,0.03150538,Small Multiples 21,Small Multiples 27,NA,-28.34572,-35.46806,-23.05696
25.65556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.6736454,0.03150538,Small Multiples 21,Small Multiples 27,NA,-29.22611,-35.69204,-21.53965
25.68889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3445981,0.03243209,Small Multiples 21,Small Multiples 27,NA,-11.24867,-47.3407,-10.08259
25.72222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3445981,0.03243209,Small Multiples 21,Small Multiples 27,NA,-11.5993,-47.32347,-9.790267
25.75556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3445981,0.03243209,Small Multiples 21,Small Multiples 27,NA,-11.7383,-47.30838,-9.717413
25.78889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3445981,0.03243209,Small Multiples 21,Small Multiples 27,NA,-11.59993,-47.21597,-10.38185
25.83333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5620036,-0.2243327,Small Multiples 21,Small Multiples 27,NA,-27.54903,-40.95038,-10.69315
25.86667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5620036,-0.2243327,Small Multiples 21,Small Multiples 27,NA,-26.3347,-41.19256,-12.64587
25.91111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4714789,0.08074112,Small Multiples 21,Small Multiples 27,NA,-13.6151,-43.67674,-20.48149
25.94444,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4714789,0.08074112,Small Multiples 21,Small Multiples 27,NA,-13.11009,-43.99299,-20.04337
25.98889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.9358667,0.02525113,Small Multiples 21,Small Multiples 27,NA,-35.23637,-24.00297,-29.04793
26.03333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.9172238,0.03003881,Small Multiples 21,Small Multiples 27,NA,-35.39658,-25.3147,-27.59943
26.05556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.9172238,0.03003881,Small Multiples 21,Small Multiples 27,NA,-36.9542,-25.96159,-24.75952
26.08889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4016,0.09946851,Small Multiples 21,Small Multiples 27,NA,-9.586002,-46.77817,-13.92583
26.13333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.2825522,0.2762811,Small Multiples 21,Small Multiples 27,NA,8.650238,-44.72065,-18.53669
26.16667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4069723,0.1276313,Small Multiples 21,Small Multiples 27,NA,-10.01991,-46.58396,-14.35972
26.2,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5697376,0.4674206,Small Multiples 21,Small Multiples 27,NA,-8.00375,-22.37454,-45.0366
26.23333,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5888117,0.6453484,Small Multiples 21,Small Multiples 27,NA,2.080783,-0.3572891,-51.10086
