TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
38.31111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885298,0.8212072,-1.863889,328.6333,195.9478,358.6995
38.35556,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885267,0.821196,-1.86397,328.6694,195.9665,358.6882
38.38889,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885205,0.8211368,-1.863916,328.6805,195.9637,358.6964
38.42222,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885154,0.8211663,-1.863907,328.6805,195.9619,358.6949
38.45555,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885167,0.8211854,-1.863889,328.6758,195.9579,358.6889
38.48889,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885121,0.8212781,-1.863863,328.6643,195.9694,358.6926
38.51111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885153,0.8213156,-1.863861,328.6892,195.9753,358.6909
38.54445,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885189,0.8213829,-1.863859,328.6835,195.9696,358.6922
38.57778,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885304,0.8213813,-1.86397,328.6871,195.9851,358.6823
38.61111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885337,0.8214596,-1.863968,328.6931,195.965,358.6965
38.64444,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885261,0.8214867,-1.863968,328.6939,195.989,358.7009
38.67778,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885226,0.8215128,-1.86399,328.687,195.983,358.6903
38.71111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885204,0.8214607,-1.864028,328.6813,195.975,358.6871
38.73333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885107,0.8214788,-1.86402,328.6937,195.9984,358.6954
38.76667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885073,0.8216263,-1.864086,328.6807,195.9822,358.6976
38.8,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885071,0.8216093,-1.863974,328.6961,195.9866,358.6952
38.83334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885208,0.8216665,-1.864016,328.6896,195.9757,358.7101
38.86667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884958,0.8216247,-1.864251,328.6819,195.99,358.697
38.9,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884866,0.8216883,-1.86442,328.711,196.01,358.7108
38.93333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884856,0.8215736,-1.864613,328.701,195.9854,358.7065
38.96667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.8849,0.8214656,-1.864518,328.7031,195.9837,358.6996
39,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884896,0.8214199,-1.8645,328.693,195.9879,358.6918
39.03333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884841,0.8214666,-1.864475,328.6896,195.9667,358.7164
39.06667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884854,0.8211865,-1.864288,328.6754,195.9697,358.7263
39.1,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.88497,0.8214005,-1.864416,328.8432,195.9604,358.7489
39.13334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885127,0.821341,-1.864192,328.6971,195.9903,358.7284
39.16667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885097,0.8212875,-1.86415,328.7757,195.9407,358.7244
39.2,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884941,0.8213187,-1.864142,328.5886,195.9799,358.7038
39.23333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884837,0.8212199,-1.86408,328.6967,195.9566,358.6916
39.26667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884761,0.8211793,-1.864089,328.6804,195.972,358.7002
39.3,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.88473,0.8210863,-1.864037,328.6527,195.9832,358.712
39.34444,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884785,0.8210912,-1.864129,328.7033,195.9758,358.7089
39.4,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884827,0.8211242,-1.864033,328.641,195.9976,358.6837
39.43333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884924,0.8210627,-1.864082,328.6734,196.0066,358.6978
39.46667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884805,0.8209884,-1.864054,328.6523,195.9802,358.6991
